iter	MultiClass
0	3.196671627
1	3.187094367
2	3.163845566
3	3.143441046
4	3.112468252
5	3.090677047
6	3.074052001
7	3.057607068
8	3.039184302
9	3.016075549
10	2.996676826
11	2.97716556
12	2.954541198
13	2.945443722
14	2.918514027
15	2.900427214
16	2.890651948
17	2.872052234
18	2.862081826
19	2.848316828
20	2.83583495
21	2.822273593
22	2.812624605
23	2.799952324
24	2.779117597
25	2.76478372
26	2.75722931
27	2.735657457
28	2.715241465
29	2.697961468
30	2.688925996
31	2.676188912
32	2.657978385
33	2.639777974
34	2.628355395
35	2.596430066
36	2.580521592
37	2.567617779
38	2.562033157
39	2.555389847
40	2.544437159
41	2.532229278
42	2.525173998
43	2.509773998
44	2.491913294
45	2.469104435
46	2.455084586
47	2.43934309
48	2.431020168
49	2.412197989
50	2.395434771
51	2.378329357
52	2.368224272
53	2.357465106
54	2.345171943
55	2.330349857
56	2.31787618
57	2.307205284
58	2.296451358
59	2.281487611
60	2.272810101
61	2.26331776
62	2.255188387
63	2.242176825
64	2.22100413
65	2.204020387
66	2.186006504
67	2.173973096
68	2.161783206
69	2.138458145
70	2.123041091
71	2.110823109
72	2.090899755
73	2.071775137
74	2.059850832
75	2.042400237
76	2.030728916
77	2.02554943
78	2.017539488
79	1.998394944
80	1.982090829
81	1.959038444
82	1.941981656
83	1.924225964
84	1.91142382
85	1.898253283
86	1.882725761
87	1.85961769
88	1.842732126
89	1.82756683
90	1.805993483
91	1.793678151
92	1.779276053
93	1.762571969
94	1.751325962
95	1.739624297
96	1.72138079
97	1.698988843
98	1.68143848
99	1.668181714
100	1.646703145
101	1.630123113
102	1.610971891
103	1.597887918
104	1.582047039
105	1.569731951
106	1.552255123
107	1.538588467
108	1.524574273
109	1.509506516
110	1.491778216
111	1.474742112
112	1.464578085
113	1.447719309
114	1.43219741
115	1.414844092
116	1.397392748
117	1.384191695
118	1.367322038
119	1.356417299
120	1.342730162
121	1.326104691
122	1.313971975
123	1.296304326
124	1.282375412
125	1.267986672
126	1.254930033
127	1.241287841
128	1.230010048
129	1.215182418
130	1.20116914
131	1.190197591
132	1.17647849
133	1.164146012
134	1.148363058
135	1.135294698
136	1.12552026
137	1.111418796
138	1.098039083
139	1.084975901
140	1.07316732
141	1.060161576
142	1.046706
143	1.035955333
144	1.025666886
145	1.016073553
146	1.005979342
147	0.9963885417
148	0.989075149
149	0.9753210541
150	0.9667231369
151	0.9584008101
152	0.9460086645
153	0.9358855499
154	0.9282148588
155	0.9152903083
156	0.9055323972
157	0.8969468967
158	0.8868240912
159	0.8782886255
160	0.8701259026
161	0.8618059144
162	0.8543523182
163	0.8470896344
164	0.8391875684
165	0.8290143009
166	0.8218866445
167	0.8124936237
168	0.8050810702
169	0.7993625932
170	0.7925184778
171	0.7840890718
172	0.7751646359
173	0.7677724238
174	0.7606804405
175	0.7523654609
176	0.7453693005
177	0.7382590135
178	0.7313523107
179	0.7251844376
180	0.7191202595
181	0.7108798445
182	0.7042971223
183	0.6973549351
184	0.6909187446
185	0.6835547527
186	0.678577408
187	0.6730023989
188	0.6659890266
189	0.6609779625
190	0.6534219412
191	0.6458613778
192	0.639361864
193	0.6350763692
194	0.6293527289
195	0.6234567043
196	0.61710622
197	0.6115794694
198	0.6071923534
199	0.602499291
200	0.5952149151
201	0.5908703308
202	0.5848834102
203	0.5800918802
204	0.5748892427
205	0.5700887729
206	0.5631412067
207	0.5560895791
208	0.5514166319
209	0.5469477844
210	0.5415109396
211	0.5364469701
