iter	Passed	Remaining
0	1336	1334962
1	2188	1092079
2	3882	1290367
3	6268	1560972
4	8248	1641440
5	9992	1655488
6	11285	1600891
7	12258	1520001
8	13178	1451068
9	14029	1388883
10	14861	1336145
11	15690	1291863
12	16520	1254254
13	17465	1230104
14	18673	1226231
15	19705	1211916
16	20612	1191896
17	21464	1170991
18	22334	1153146
19	23202	1136936
20	24019	1119744
21	24906	1107204
22	26204	1113101
23	29501	1199728
24	32229	1256968
25	33923	1270813
26	35385	1275187
27	37531	1302882
28	40231	1347059
29	41522	1342553
30	42655	1333319
31	43902	1328048
32	45022	1319292
33	46267	1314542
34	47634	1313359
35	48641	1302521
36	49849	1297437
37	51385	1300857
38	53015	1306361
39	54176	1300238
40	55312	1293776
41	56322	1284689
42	57183	1272667
43	58041	1261088
44	58891	1249805
45	59895	1242183
46	61014	1237166
47	61947	1228625
48	62966	1222073
49	63809	1212383
50	64621	1202462
51	65661	1197055
52	66490	1188050
53	67312	1179219
54	68141	1170791
55	69038	1163789
56	70067	1159193
57	71631	1163393
58	73051	1165103
59	74360	1164985
60	75887	1168170
61	77020	1165244
62	78274	1164183
63	79233	1158783
64	80213	1153839
65	81501	1153363
66	82420	1147733
67	83812	1148724
68	85262	1150423
69	86910	1154669
70	88250	1154715
71	89520	1153817
72	91237	1158586
73	92776	1160957
74	94455	1164950
75	95713	1163672
76	97116	1164140
77	98117	1159798
78	99137	1155768
79	100237	1152726
80	101617	1152924
81	102607	1148707
82	103750	1146255
83	105583	1151358
84	106700	1148595
85	107827	1145976
86	109124	1145177
87	111401	1154520
88	112483	1151374
89	113483	1147446
90	114445	1143193
91	115335	1138311
92	116261	1133866
93	117213	1129736
94	118132	1125367
95	119432	1124658
96	120388	1120733
97	121369	1117098
98	122618	1115951
99	123589	1112307
100	124444	1107679
101	125288	1103034
102	126134	1098472
103	127015	1094290
104	127965	1090756
105	128857	1086782
106	129717	1082592
107	130559	1078322
108	131380	1073948
109	132193	1069561
110	133021	1065366
111	134139	1063531
112	135022	1059865
113	135903	1056229
114	136772	1052555
115	137821	1050292
116	138662	1046489
117	139496	1042679
118	140315	1038809
119	141280	1036057
120	142184	1032895
121	143213	1030664
122	144185	1028055
123	145097	1025042
124	145983	1021883
125	146792	1018227
126	147626	1014785
127	148476	1011499
128	149300	1008066
129	150121	1004661
130	150949	1001334
131	151782	998082
132	152612	994850
133	153442	991653
134	154246	988317
135	155064	985118
136	155875	981904
137	156705	978842
138	157524	975745
139	158397	973012
140	159221	970007
141	160053	967086
142	160862	964050
143	161676	961076
144	162495	958160
145	163316	955287
146	164173	952654
147	165048	950146
148	165862	947308
149	166705	944663
150	167611	942401
151	168581	940506
152	169472	938192
153	170363	935893
154	171193	933278
155	172121	931219
156	173037	929113
157	174895	932039
158	176078	931333
159	177126	929911
160	179006	932833
161	180274	932531
162	181604	932532
163	182936	932530
164	184229	932311
165	185447	931707
166	186360	929572
167	187427	928211
168	188462	926700
169	189496	925188
170	190346	922792
171	191256	920699
172	192151	918553
173	193060	916484
174	194194	915486
175	195138	913603
176	196087	911749
177	197180	910574
178	198111	908657
179	198985	906490
180	199822	904169
181	200666	901895
182	201532	899738
183	202404	897619
184	203256	895427
185	204164	893494
186	205073	891575
187	205910	889358
188	206829	887508
189	207790	885843
190	208756	884207
191	209711	882534
192	210579	880507
193	211719	879616
194	212609	877695
195	213442	875550
196	214419	874005
197	215445	872664
198	216311	870679
199	217176	868706
200	218058	866809
201	218960	865002
202	219954	863566
203	221173	863010
204	222330	862207
205	223309	860718
206	224192	858863
207	225091	857080
208	225965	855209
209	226855	853407
210	227768	851703
211	228774	850350
212	230047	849986
213	231031	848555
214	231951	846891
215	232828	845081
216	233787	843574
217	234733	842024
218	235663	840424
219	236527	838597
220	237554	837352
221	238609	836206
222	239470	834387
223	240335	832589
224	241207	830827
225	242091	829110
226	242964	827364
227	243855	825687
228	245108	825234
229	246180	824169
230	247033	822376
231	247884	820582
232	248772	818921
233	249637	817189
234	250467	815350
235	251329	813625
236	252209	811966
237	253062	810223
238	253934	808553
239	254847	807015
240	255704	805308
241	256543	803554
242	257381	801802
243	258217	800051
244	259531	799779
245	260620	798813
246	261773	798038
247	263323	798465
248	264525	797825
249	265881	797644
250	267110	797075
251	268154	795949
252	269117	794588
253	269972	792911
254	270831	791252
255	271669	789538
256	272589	788070
257	273604	786877
258	274722	785982
259	275714	784724
260	276657	783333
261	277558	781825
262	278432	780245
263	279312	778688
264	280176	777094
265	281008	775413
266	281847	773761
267	282697	772142
268	283547	770533
269	284386	768898
270	285237	767299
271	286075	765672
272	286917	764062
273	287750	762433
274	288584	760813
275	289412	759183
276	290278	757657
277	291128	756097
278	292050	754726
279	292993	753412
280	293845	751868
281	294684	750294
282	295534	748757
283	296382	747217
284	297227	745675
285	298361	744860
286	299481	744007
287	300525	742966
288	301436	741597
289	302511	740632
290	303566	739617
291	304626	738615
292	305473	737097
293	306312	735567
294	307149	734035
295	308010	732564
296	308850	731049
297	309749	729679
298	310579	728147
299	311416	726637
300	312248	725122
301	313100	723655
302	314073	722472
303	314917	720996
304	315766	719532
305	316601	718044
306	317429	716542
307	318269	715072
308	319315	714068
309	320159	712613
310	321006	711169
311	321856	709734
312	322743	708385
313	323677	707142
314	324551	705771
315	325395	704337
316	326226	702879
317	327065	701442
318	327899	699998
319	328750	698594
320	329593	697177
321	330426	695741
322	331261	694315
323	332108	692916
324	332949	691511
325	333788	690102
326	334633	688711
327	335464	687292
328	336348	685987
329	337194	684607
330	338068	683286
331	339056	682197
332	339994	681009
333	340950	679858
334	341894	678685
335	342837	677511
336	343718	676217
337	344578	674884
338	345469	673615
339	346329	672286
340	347164	670912
341	348004	669552
342	348850	668205
343	349693	666857
344	350539	665517
345	351420	664245
346	352269	662916
347	353129	661610
348	354005	660337
349	354970	659230
350	355820	657912
351	356672	656601
352	357501	655250
353	358358	653953
354	359200	652632
355	360048	651323
356	360899	650023
357	361746	648718
358	362594	647417
359	363428	646095
360	364310	644859
361	365145	643543
362	365985	642239
363	366836	640955
364	367728	639746
365	368567	638448
366	369693	637645
367	370549	636378
368	371386	635081
369	372229	633796
370	373110	632578
371	373971	631328
372	374823	630065
373	375681	628815
374	376537	627563
375	377397	626318
376	378257	625078
377	379101	623812
378	379963	622578
379	380799	621303
380	381644	620046
381	382546	618883
382	383474	617764
383	384330	616530
384	385181	615289
385	386122	614194
386	386982	612971
387	387830	611733
388	388690	610514
389	389516	609243
390	390363	608009
391	391220	606790
392	392077	605574
393	392913	604329
394	393759	603100
395	394604	601872
396	395454	600652
397	396337	599484
398	397170	598245
399	398021	597032
400	398912	595881
401	399794	594719
402	400637	593499
403	401465	592261
404	402318	591059
405	403183	589878
406	404145	588840
407	405130	587836
408	406031	586711
409	407040	585740
410	408048	584769
411	409028	583759
412	409924	582629
413	410808	581483
414	411716	580371
415	412664	579317
416	413569	578204
417	414465	577078
418	415308	575881
419	416197	574749
420	417126	573673
421	418015	572542
422	418864	571358
423	419697	570154
424	420597	569043
425	421431	567843
426	422935	567546
427	424608	567467
428	426238	567324
429	428410	567892
430	429674	567249
431	431326	567115
432	433085	567111
433	434802	567046
434	436094	566421
435	437310	565695
436	438362	564755
437	439287	563651
438	440278	562633
439	441424	561813
440	442381	560750
441	443237	559561
442	444281	558610
443	445177	557474
444	446162	556449
445	447017	555263
446	447877	554085
447	448796	552981
448	449629	551772
449	450480	550587
450	451322	549392
451	452159	548193
452	453000	547000
453	453827	545792
454	454670	544605
455	455530	543440
456	456355	542234
457	457190	541042
458	458014	539838
459	458884	538690
460	459717	537500
461	460560	536323
462	461390	535132
463	462222	533946
464	463075	532785
465	463926	531624
466	464773	530458
467	465616	529290
468	466761	528465
469	468315	528100
470	470725	528691
471	472184	528206
472	473360	527401
473	474315	526349
474	475695	525768
475	476570	524628
476	477403	523442
477	478241	522263
478	479099	521108
479	479987	519986
480	480803	518787
481	481656	517630
482	482472	516435
483	483285	515238
484	484103	514048
485	485186	513140
486	486174	512130
487	487129	511086
488	487946	509899
489	488843	508796
490	489737	507691
491	490583	506537
492	491437	505393
493	492438	504400
494	493639	503612
495	494754	502734
496	495735	501720
497	496686	500676
498	497687	499681
499	499053	499053
500	500109	498112
501	501410	497415
502	502519	496525
503	503695	495700
504	504669	494675
505	505973	493974
506	506977	492978
507	508049	492048
508	508947	490948
509	510193	490186
510	511991	489948
511	514386	490274
512	515951	489802
513	517692	489491
